iter	RMSE
0	74629.90066
1	70115.15273
2	65985.83314
3	62447.79455
4	59362.27028
5	56084.14594
6	52890.89694
7	50528.98142
8	48318.52972
9	46308.62681
10	44302.49643
11	42545.80975
12	40831.02606
13	39286.05142
14	37856.49229
15	36702.24115
16	35484.19302
17	34395.16756
18	33441.9249
19	32634.15426
20	31934.05847
21	31227.08862
22	30497.25412
23	29894.08933
24	29325.3803
25	28771.23158
26	28322.08407
27	27696.9545
28	27259.09458
29	26981.48791
30	26664.25385
31	26500.84003
32	26186.13244
33	25810.55983
34	25286.38556
35	25026.88409
36	24850.01169
37	24482.63892
38	23998.74185
39	23718.78615
40	23512.01832
41	23253.10396
42	23003.3014
43	22749.44122
44	22480.18331
45	22285.87687
46	22100.2458
47	21898.14844
48	21666.30405
49	21453.93284
50	21228.3002
51	21049.66424
52	20886.37566
53	20654.25115
54	20582.93809
55	20438.15101
56	20236.54085
57	20115.73326
58	19950.60474
59	19811.81551
60	19673.8791
61	19563.02117
62	19394.53983
63	19275.9559
64	19118.88529
65	18999.81312
66	18834.3258
67	18734.58475
68	18636.84455
69	18561.25268
70	18424.22111
71	18318.62129
72	18261.44195
73	18158.53246
74	18027.20674
75	17858.17985
76	17697.97329
77	17632.91941
78	17538.76385
79	17432.06792
80	17317.82115
81	17237.26061
82	17168.9542
83	17056.86455
84	16928.51485
85	16823.54744
86	16719.11543
87	16680.89107
88	16567.97886
89	16500.87084
90	16420.15403
91	16330.40073
92	16239.76335
93	16193.93104
94	16100.30048
95	16006.29583
96	15979.93028
97	15911.73396
98	15845.52596
99	15721.8769
100	15703.26286
101	15621.65324
102	15528.92416
103	15512.10084
104	15434.45287
105	15385.16788
106	15294.68801
107	15234.32454
108	15161.8361
109	15090.62434
110	15061.68025
111	14960.88853
112	14859.88542
113	14774.94558
114	14696.37138
115	14601.46268
116	14519.22253
117	14458.28547
118	14405.57686
119	14332.63195
120	14245.55483
121	14178.28839
122	14106.50367
123	14072.50029
124	14005.54715
125	13973.8476
126	13905.02053
127	13843.95099
128	13781.99425
129	13682.86838
130	13654.43142
131	13582.59648
132	13540.57785
133	13478.2105
134	13444.07802
135	13398.50002
136	13337.92617
137	13277.10024
138	13251.20818
139	13231.98142
140	13152.47716
141	13109.07024
142	13076.16051
143	13015.47376
144	12971.17677
145	12909.98703
146	12838.69142
147	12781.10441
148	12727.94897
149	12704.11807
150	12664.56742
151	12618.4432
152	12585.83798
153	12514.41598
154	12425.99138
155	12420.44957
156	12361.78977
157	12295.5352
158	12272.31258
159	12244.02419
160	12166.19576
161	12158.256
162	12117.45929
163	12047.30492
164	12008.36412
165	11971.99971
166	11915.31684
167	11901.91501
168	11856.65218
169	11797.92551
170	11745.37852
171	11700.57882
172	11666.18374
173	11599.40966
174	11586.14255
175	11517.4057
176	11509.74553
177	11441.80463
178	11374.98385
179	11315.79472
180	11297.33603
181	11279.83364
182	11273.02411
183	11233.67306
184	11200.8023
185	11163.06663
186	11089.28102
187	11042.70623
188	11014.61645
189	11007.80328
190	10959.2516
191	10905.02574
192	10876.12684
193	10833.7925
194	10772.84005
195	10729.33943
196	10696.67769
197	10643.48974
198	10596.92812
199	10554.4692
