iter	Passed	Remaining
0	7	1528
1	18	1869
2	29	1961
3	38	1865
4	51	2009
5	67	2174
6	81	2242
7	98	2365
8	117	2504
9	135	2576
10	152	2625
11	166	2602
12	175	2522
13	184	2447
14	194	2402
15	202	2326
16	213	2295
17	220	2230
18	230	2199
19	240	2160
20	252	2151
21	262	2125
22	276	2125
23	293	2150
24	310	2172
25	329	2201
26	345	2215
27	359	2207
28	369	2180
29	379	2151
30	417	2276
31	427	2241
32	436	2208
33	447	2186
34	459	2167
35	468	2136
36	480	2116
37	496	2118
38	510	2107
39	528	2113
40	577	2240
41	589	2216
42	597	2181
43	606	2150
44	618	2130
45	625	2094
46	638	2078
47	649	2057
48	658	2029
49	672	2017
50	686	2004
51	733	2088
52	768	2130
53	799	2161
54	810	2136
55	819	2108
56	936	2348
57	1040	2548
58	1062	2538
59	1117	2606
60	1173	2673
61	1253	2790
62	1319	2869
63	1359	2889
64	1450	3013
65	1539	3126
66	1558	3094
67	1660	3222
68	1677	3184
69	1689	3137
70	1702	3092
71	1715	3049
72	1728	3007
73	1790	3048
74	1812	3021
75	1831	2988
76	1848	2953
77	1866	2918
78	1882	2883
79	1897	2846
80	1958	2877
81	1976	2844
82	2000	2820
83	2020	2789
84	2033	2751
85	2048	2715
86	2071	2690
87	2080	2647
88	2090	2607
89	2101	2568
90	2109	2527
91	2121	2490
92	2130	2450
93	2139	2412
94	2148	2374
95	2161	2341
96	2176	2311
97	2219	2309
98	2244	2289
99	2312	2312
100	2361	2315
101	2372	2279
102	2385	2246
103	2394	2210
104	2403	2174
105	2415	2141
106	2430	2112
107	2444	2082
108	2455	2049
109	2465	2017
110	2482	1990
111	2496	1961
112	2508	1931
113	2526	1905
114	2542	1879
115	2554	1849
116	2566	1820
117	2581	1794
118	2595	1766
119	2636	1757
120	2650	1730
121	2664	1703
122	2679	1677
123	2700	1655
124	2707	1624
125	2722	1599
126	2733	1571
127	2741	1541
128	2752	1514
129	2792	1503
130	2813	1481
131	2827	1456
132	2847	1434
133	2862	1409
134	2876	1385
135	2916	1372
136	2926	1345
137	2936	1319
138	2946	1293
139	2956	1267
140	2969	1242
141	2981	1217
142	2991	1192
143	3033	1179
144	3047	1156
145	3059	1131
146	3072	1107
147	3084	1083
148	3094	1059
149	3107	1035
150	3152	1023
151	3166	999
152	3179	976
153	3190	952
154	3202	929
155	3227	910
156	3329	911
157	3426	910
158	3448	889
159	3468	867
160	3497	847
161	3518	825
162	3531	801
163	3556	780
164	3586	760
165	3608	739
166	3630	717
167	3680	701
168	3699	678
169	3718	656
170	3738	633
171	3825	622
172	3839	599
173	3907	583
174	3933	561
175	3959	539
176	3971	516
177	4019	496
178	4044	474
179	4063	451
180	4076	427
181	4088	404
182	4127	383
183	4142	360
184	4149	336
185	4160	313
186	4170	289
187	4178	266
188	4188	243
189	4195	220
190	4206	198
191	4242	176
192	4257	154
193	4271	132
194	4282	109
195	4293	87
196	4302	65
197	4319	43
198	4367	21
199	4375	0
