iter	RMSE
0	29115.40766
1	26330.77352
2	24652.51415
3	23691.2136
4	18813.65437
5	18142.18659
6	17748.72335
7	15642.13153
8	13982.75007
9	13613.73206
10	12311.03139
11	11663.60662
12	11418.11206
13	11264.59483
14	10797.75198
15	10369.52723
16	10046.00756
17	9938.585347
18	9442.136587
19	8909.007974
20	8520.959609
21	8193.556905
22	8058.621264
23	7836.11369
24	7604.460351
25	7452.022388
26	7357.551744
27	7130.402688
28	7037.782117
29	6952.228199
30	6891.60748
31	6815.285188
32	6764.908056
33	6674.127305
34	6610.238435
35	6555.024097
36	6474.223714
37	6443.286863
38	6297.542128
39	6170.515097
40	6109.706056
41	6061.588456
42	6034.770354
43	5989.167098
44	5917.207626
45	5760.897713
46	5729.752512
47	5680.183027
48	5663.784761
49	5625.540196
50	5561.555653
51	5528.013624
52	5504.825815
53	5489.571314
54	5472.804129
55	5445.334421
56	5419.496061
57	5373.923853
58	5336.803094
