iter	Passed	Remaining
0	52	36608
1	122	42834
2	178	41433
3	244	42541
4	285	39682
5	319	36991
6	358	35499
7	384	33262
8	406	31224
9	427	29470
10	443	27798
11	454	26078
12	501	26525
13	530	26012
14	566	25882
15	607	25987
16	637	25629
17	660	25029
18	705	25303
19	743	25277
20	777	25144
21	814	25105
22	847	24933
23	875	24648
24	897	24230
25	933	24199
26	969	24163
27	1029	24708
28	1058	24487
29	1105	24685
30	1142	24647
31	1170	24426
32	1201	24285
33	1228	24055
34	1282	24368
35	1306	24101
36	1332	23881
37	1349	23511
38	1396	23667
39	1426	23539
40	1443	23207
41	1463	22923
42	1481	22640
43	1515	22595
44	1536	22360
45	1561	22203
46	1601	22247
47	1633	22187
48	1659	22050
49	1683	21882
50	1718	21867
51	1746	21761
52	1800	21981
53	1826	21845
54	1842	21602
55	1872	21535
56	1905	21493
57	1948	21562
